9c:da:3e:7e:f9:28,UK Office,1st Floor,51.46036129,-0.932513881
2c:f0:a2:62:8d:28,UK Office,1st Floor,51.46040423,-0.93302108
b4:9c:df:15:7b:68,UK Office,1st Floor,51.46037441,-0.932458413
0c:51:01:b3:c7:3b,UK Office,1st Floor,51.46035636,-0.932508208
80:58:f8:45:e4:3b,UK Office,1st Floor,51.46086395,-0.93234821
88:29:9c:7c:33:c3,UK Office,1st Floor,51.46079702,-0.932189616
6c:e8:5c:cc:35:27,UK Office,1st Floor,51.46040423,-0.93302108
7c:b3:7b:19:5b:e4,UK Office,1st Floor,51.46044282,-0.932965122
b4:6d:83:06:d7:f4,UK Office,1st Floor,51.46040423,-0.93302108
d0:77:14:aa:79:55,UK Office,1st Floor,51.46045952,-0.932435428
